#1.2													
20812	12												
Name	Description	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6	Polyp_1	Polyp_2	Polyp_3	Polyp_4	Polyp_5	Polyp_6
ABCA6	na	5.886010909	4.789889861	4.761930835	3.069652159	6.186169382	2.008205883	6.287149713	5.385311333	3.720609333	5.41647007	4.684777435	4.919372353
ABCA7	na	-0.30381365	5.237348838	0.369613412	3.069652159	2.335312821	2.008205883	2.459330688	4.618288505	2.135646832	1.024152648	0.77788684	3.761831076
ABCA8	na	5.529076364	5.578385756	4.07005313	3.069652159	7.074852359	2.008205883	6.068139931	6.637147532	3.901181578	6.068546767	4.684777435	5.7338167
ABCA9	na	5.368611692	4.500383244	3.176968334	3.069652159	4.657240916	2.008205883	6.404189134	4.457823833	2.621073659	5.111615489	3.099814934	4.705247548
ABCB1	na	4.905639716	4.789889861	5.124500914	3.069652159	5.309317613	2.008205883	5.346855959	4.66804154	5.171270742	3.346080743	3.947811841	3.761831076
ABCB10	na	4.088503773	4.789889861	4.07005313	3.069652159	4.282845401	2.008205883	5.563667348	3.994851856	5.023172103	4.194077649	3.585241762	2.383319453
ABCB11	na	2.503541272	3.652386338	4.07005313	5.877007081	1.849885994	2.008205883	0.137402593	2.485838209	1.398681238	2.609115148	0.77788684	0.061391358
ABCB4	na	2.503541272	2.915420743	1.954575913	3.069652159	1.1129204	2.008205883	0.137402593	1.592753413	1.398681238	3.346080743	0.77788684	1.646353859
ABCB5	na	-0.30381365	1.330458243	1.954575913	3.069652159	-0.472042101	2.008205883	0.137402593	-1.214601509	-0.186281263	1.024152648	0.77788684	0.061391358
ABCB6	na	3.155617969	3.652386338	4.457076253	4.65461466	1.849885994	4.330133978	1.722365094	3.177715913	4.858112856	3.83150757	2.36284934	2.383319453
ABCB7	na	5.962972891	2.915420743	5.498896429	3.069652159	5.717782458	4.330133978	5.26668561	4.400108335	4.858112856	4.194077649	3.585241762	4.309318871
ABCB8	na	-0.30381365	2.915420743	2.691541507	3.069652159	-0.472042101	2.008205883	3.837842311	0.370360991	2.621073659	1.024152648	2.36284934	0.061391358
